Period,Threshold,MA Period,Return %,Trades,Win Rate %,Max DD %
12,20.0,25,14.550474468226207,62,45.16129032258064,6.315629909429989
16,25.0,20,13.445613818808061,22,68.18181818181817,6.067490817971596
16,25.0,25,13.427045906482912,22,68.18181818181817,6.067490817971626
16,25.0,15,13.250703483152165,22,68.18181818181817,6.067490817971596
16,30.0,15,12.656739316163373,17,52.94117647058824,8.236576087368416
16,30.0,20,12.652386553090473,17,52.94117647058824,8.236576087368416
12,20.0,15,10.935122101052322,65,44.61538461538462,6.727494977609962
16,30.0,25,10.889207416185487,19,47.368421052631575,8.236576087368409
14,30.0,20,10.859100036611585,21,57.14285714285714,8.592048250449288
12,20.0,20,10.620801342489287,64,45.3125,6.635077157717808
14,30.0,15,10.601107485861439,21,57.14285714285714,8.592048250449288
14,30.0,25,10.218819299749066,22,50.0,8.848992658410229
12,30.0,25,10.211938901893147,31,48.38709677419355,7.968204306690047
14,20.0,25,8.962818920362547,51,43.13725490196079,6.6613015136228455
14,25.0,25,8.640493416618664,33,51.515151515151516,6.0398499591399295
12,30.0,15,8.319329898930087,33,48.484848484848484,8.455306684419302
12,30.0,20,8.310045858147543,33,48.484848484848484,8.455306684419302
14,20.0,20,6.28113406188882,53,41.509433962264154,6.663111936466409
16,20.0,25,5.938745517692612,39,48.717948717948715,8.06262414855289
14,25.0,20,5.840507362794522,36,47.22222222222222,6.08199050163212
16,20.0,20,5.640897793563745,39,48.717948717948715,8.340407784791882
16,20.0,15,5.23232690466615,39,48.717948717948715,8.340407784791882
14,20.0,15,5.130573282238512,55,40.0,6.318951637693733
14,25.0,15,4.782232172503189,35,48.57142857142857,6.575789653122449
12,25.0,25,2.596703698725772,40,42.5,7.756900674788703
12,25.0,15,0.06781927880087177,42,38.095238095238095,7.994898885370068
12,25.0,20,-0.7374089417148877,43,37.2093023255814,7.994898885370068
