Fast,Slow,Signal,Return %,Trades,Win Rate %,Max DD %
12,24,9,7.435703443222119,84,40.476190476190474,4.4040665264238665
10,24,11,7.373807248874736,84,40.476190476190474,4.445311005638863
15,24,7,7.3713480356136385,84,42.857142857142854,4.394699040377823
12,28,7,7.042472320418214,92,40.21739130434783,4.473912694887703
10,28,9,6.858294177843244,87,42.5287356321839,4.404641027883646
15,24,11,6.044399891346399,79,41.77215189873418,5.9662162190964425
15,28,7,6.032896418675753,83,43.373493975903614,4.912314509794437
15,28,9,5.889802871336763,81,41.9753086419753,5.703584534705306
10,26,9,5.830881840568332,92,40.21739130434783,4.400308761926619
12,24,7,5.800972326975886,98,42.857142857142854,4.9901862726658885
12,26,9,5.788226410843244,82,39.02439024390244,4.78310935500713
12,28,11,5.723016059732575,80,40.0,5.79135165146277
12,24,11,5.010383018011027,83,37.34939759036144,5.76563547454943
10,24,9,4.918562801617977,95,42.10526315789473,5.400197014280925
15,26,7,4.835409514958184,84,40.476190476190474,4.867948572899105
12,26,11,4.737729849377489,80,38.75,5.585551375471664
12,26,7,4.355539128983831,94,40.42553191489361,4.905932037883361
15,26,11,4.276628787342289,78,41.02564102564102,6.156249664367903
15,26,9,4.225720918432934,80,37.5,5.7705483758494776
12,28,9,4.2136480673421355,83,38.55421686746988,6.015528152887638
15,24,9,4.144041000850069,81,39.50617283950617,5.706814245586456
10,28,11,4.12033687975844,82,37.80487804878049,7.0256557044824
15,28,11,4.022132400751326,76,39.473684210526315,6.745951530387575
10,26,7,3.963513666996617,104,42.30769230769231,5.069530625180161
10,26,11,3.8156460820541187,84,38.095238095238095,6.035205238162128
10,28,7,3.4216749368294046,103,41.74757281553398,5.321436078171963
10,24,7,2.769693430120749,109,43.11926605504588,5.47339471170407
