Period,Oversold,Overbought,Return %,Trades,Win Rate %,Max DD %
20,35,70,18.737704074929198,10,100.0,4.10893157072046
20,35,80,17.31978739451598,5,40.0,8.347578123667233
20,35,75,16.530306948531894,8,75.0,5.982916408475914
14,35,75,15.231509365352208,15,86.66666666666667,7.23680963896529
14,30,75,15.002098843559155,10,90.0,4.004483214730961
14,35,80,14.030638185426394,8,62.5,6.9614956276047675
14,30,80,13.496724673884042,8,62.5,5.910326443320184
14,35,70,11.941760533434996,17,88.23529411764706,5.101359307474366
10,25,80,11.623358271809257,10,90.0,3.664732392237858
10,35,80,11.155102439032824,16,68.75,6.98597363339206
10,35,75,11.052546023672313,23,78.26086956521739,5.949737683220274
20,30,80,10.602120400086628,5,40.0,3.4099172740570443
20,35,65,10.583608897204613,11,100.0,3.8518504818831207
14,30,70,10.308903700956225,11,90.9090909090909,3.5858712754374444
10,25,75,9.13485303402175,12,91.66666666666666,2.8494773400014166
10,30,80,8.936735429274838,15,80.0,7.0034940549805595
20,30,75,7.889101115207831,7,71.42857142857143,2.65331848411509
14,30,65,7.406425098298573,11,100.0,3.3576459819113085
14,25,80,7.28167513728151,7,71.42857142857143,2.56943718059317
14,35,65,6.997880683172833,17,94.11764705882352,3.553184351971413
10,30,75,6.8629705780540045,19,84.21052631578947,5.27178919062146
20,30,70,6.5205296787944125,9,100.0,2.65331848411509
10,20,80,6.036479647269745,9,100.0,2.0754376427572017
14,25,75,5.806424169185158,9,100.0,2.56943718059317
10,25,70,4.977953585910319,13,92.3076923076923,2.94022525349561
10,20,75,4.584992994296604,9,100.0,2.0754376427572017
14,25,70,4.132794778718437,9,100.0,2.56943718059317
20,30,65,4.1006706182391355,9,100.0,2.65331848411509
10,35,65,3.660549634845837,29,79.3103448275862,5.4957078355369955
14,25,65,3.455986123003749,10,100.0,2.20612822471849
20,25,80,3.4268890673772776,4,50.0,0.9696140293014424
10,25,65,3.034374587544111,13,92.3076923076923,3.4430633527996126
20,25,75,2.557220199872876,4,100.0,0.9696140293014424
10,35,70,2.389098696643189,27,70.37037037037037,5.696294020354833
10,20,70,2.30671988544631,10,100.0,1.6942636215490203
10,30,65,2.049449716654104,22,81.81818181818183,4.200603994272177
20,25,70,1.7835613768481862,4,100.0,0.9696140293014424
14,20,80,1.7633203364952257,5,80.0,0.8879949918869319
14,20,75,1.532037623557501,5,100.0,0.8879949918869319
20,25,65,1.3832737264160344,4,100.0,0.9696140293014424
14,20,65,1.3008303061392732,6,100.0,0.8784787273640521
14,20,70,1.2972194955815954,5,100.0,0.8879949918869319
10,30,70,0.8212304232252929,20,75.0,3.2544159112753697
20,20,80,0.33935089518525474,2,50.0,0.08663608574824584
20,20,75,0.2707456324403675,2,100.0,0.08663608574824584
20,20,70,0.16835792768171223,2,100.0,0.08663608574824584
20,20,65,0.15194764807000466,2,100.0,0.08663608574824584
10,20,65,-2.523138943217069,9,88.88888888888889,4.773348495317837
